fips,gdp_2024
01001,2251415000
01003,13446245000
01005,985771000
01007,642360000
01009,1534975000
01011,375414000
01013,903761000
01015,6287502000
01017,1240169000
01019,796657000
01021,1655036000
01023,727585000
01025,1129866000
01027,576731000
01029,463647000
01031,2323016000
01033,3558557000
01035,507245000
01037,252383000
01039,1662386000
01041,606446000
01043,4284754000
01045,3915372000
01047,1724275000
01049,3060598000
01051,3118265000
01053,1686284000
01055,4025620000
01057,480172000
01059,1336719000
01061,827451000
01063,283285000
01065,385503000
01067,681050000
01069,8043315000
01071,2144025000
01073,65539202000
01075,473505000
01077,3928523000
01079,864542000
01081,9274891000
01083,6970887000
01085,537792000
01087,764900000
01089,38958201000
01091,1107992000
01093,1328464000
01095,5278383000
01097,30122670000
01099,848061000
01101,19858873000
01103,8388858000
01105,259965000
01107,568767000
01109,2066542000
01111,690235000
01113,2312570000
01115,3156398000
01117,17332832000
01119,451395000
01121,4496315000
01123,1910145000
01125,14447493000
01127,2568468000
01129,1300833000
01131,472602000
01133,1140916000
02013,288918000
02016,1346090000
02020,32113435000
02050,837070000
02060,178787000
02063,1472506000
02066,168943000
02068,413092000
02070,324052000
02090,7891256000
02100,149720000
02105,144185000
02110,3226767000
02122,3590303000
02130,1237489000
02150,989110000
02158,181136000
02164,141719000
02170,4465288000
02180,603156000
02185,8087773000
02188,743508000
02195,216545000
02198,294002000
02220,734692000
02230,128332000
02240,1054753000
02275,118541000
02282,42372000
02290,383666000
04001,2947583000
04003,6576220000
04005,10662231000
04007,2397189000
04009,2015248000
04011,2526152000
04012,848506000
04013,419250222000
04015,9481652000
04017,4065297000
04019,66711927000
04021,16271501000
04023,2843969000
04025,12137366000
04027,11353488000
05001,1354408000
05003,1195590000
05005,2326281000
05007,26125929000
05009,1933546000
05011,471968000
05013,458120000
05015,1308918000
05017,372073000
05019,1071309000
05021,476279000
05023,844061000
05025,235337000
05027,1306485000
05029,1016143000
05031,7259082000
05033,2328337000
05035,2344857000
05037,587781000
05039,340283000
05041,723990000
05043,819092000
05045,5737206000
05047,688949000
05049,237243000
05051,4738099000
05053,668022000
05055,2021448000
05057,1323042000
05059,1578799000
05061,908541000
05063,2636340000
05065,390113000
05067,988026000
05069,3460689000
05071,934942000
05073,221316000
05075,559367000
05077,244787000
05079,379996000
05081,715001000
05083,727412000
05085,2115770000
05087,694638000
05089,773625000
05091,1834235000
05093,4151520000
05095,264531000
05097,209005000
05099,318151000
05101,138670000
05103,862924000
05105,265746000
05107,677572000
05109,401276000
05111,886114000
05113,860204000
05115,4152984000
05117,267389000
05119,41430418000
05121,728724000
05123,943104000
05125,4029131000
05127,505197000
05129,258583000
05131,9255242000
05133,757968000
05135,579835000
05137,365914000
05139,3375420000
05141,483785000
05143,18160038000
05145,3310545000
05147,326734000
05149,895358000
06001,182539223000
06003,146275000
06005,2112319000
06007,12901012000
06009,2074294000
06011,2009841000
06013,96579110000
06015,1088160000
06017,11555433000
06019,64216914000
06021,1468090000
06023,7590512000
06025,12907423000
06027,1555469000
06029,63069657000
06031,9220195000
06033,2694949000
06035,1470539000
06037,1002965029000
06039,8846190000
06041,36853590000
06043,1035723000
06045,4692543000
06047,13282268000
06049,687654000
06051,1564588000
06053,38345355000
06055,14591893000
06057,6221340000
06059,351752654000
06061,34304249000
06063,1481503000
06065,134756586000
06067,135538141000
06069,3284723000
06071,137913905000
06073,331867565000
06075,268321762000
06077,46521159000
06079,24505477000
06081,217017754000
06083,41424520000
06085,438483301000
06087,21092114000
06089,11869690000
06091,127150000
06093,2303711000
06095,37694901000
06097,39448025000
06099,32065240000
06101,5238339000
06103,2869511000
06105,598267000
06107,25414754000
06109,3306314000
06111,69605643000
06113,20507463000
06115,4508130000
08001,43102130000
08003,911621000
08005,66677000000
08007,773198000
08009,143068000
08011,175288000
08013,39310907000
08014,11043854000
08015,1304751000
08017,356064000
08019,656353000
08021,258666000
08023,125757000
08025,176234000
08027,227483000
08029,1203050000
08031,128544473000
08033,105735000
08035,31178121000
08037,6935486000
08039,1041833000
08041,55117195000
08043,2072525000
08045,5010959000
08047,1018137000
08049,1621958000
08051,1555950000
08053,56373000
08055,323020000
08057,159443000
08059,46222558000
08061,118521000
08063,650697000
08065,563962000
08067,4264000000
08069,28483380000
08071,652594000
08073,500993000
08075,1419089000
08077,9476333000
08079,100109000
08081,1246414000
08083,1453827000
08085,2408079000
08087,2042700000
08089,738815000
08091,309431000
08093,696391000
08095,254463000
08097,3846643000
08099,625292000
08101,8763714000
08103,689583000
08105,579785000
08107,2960825000
08109,219670000
08111,59055000
08113,1080949000
08115,98653000
08117,4340835000
08119,1305252000
08121,188482000
08123,29473373000
08125,611865000
09110,110914256000
09120,33929754000
09130,16096041000
09140,33434994000
09150,5430654000
09160,6465153000
09170,50133476000
09180,24086923000
09190,76343680000
10001,11652246000
10003,75963832000
10005,23355694000
11001,184297673000
12001,20938733000
12003,1053655000
12005,13467099000
12007,975743000
12009,43482320000
12011,173651328000
12013,506138000
12015,9769878000
12017,6980610000
12019,9125045000
12021,36076881000
12023,3522864000
12027,1418857000
12029,425669000
12031,105371260000
12033,24362738000
12035,5147471000
12037,505880000
12039,1707526000
12041,576381000
12043,447344000
12045,652018000
12047,781555000
12049,1475532000
12051,1891289000
12053,7294278000
12055,3825278000
12057,152009857000
12059,562060000
12061,11151906000
12063,1986155000
12065,440624000
12067,305815000
12069,17948846000
12071,54159628000
12073,23568143000
12075,1660421000
12077,492070000
12079,748314000
12081,26347982000
