# Source: layoffhedge.com
# License: Free to use with attribution
# Generated: 2026-06-08
Company,Industry,People Cut,Workforce %,Total Workforce,Date,Category,Source URL
"WK Kellogg Co","Manufacturing",117,"3.5%",3300,"Jun 8","RESTRUCTURE","https://www.actionnews5.com/2026/06/08/memphis-kelloggs-factory-lay-off-100-workers/"
"Saks Global","Retail",1866,"11.0%",17000,"Jun 6","RESTRUCTURE","https://www.investing.com/news/stock-market-news/saks-global-wins-court-approval-for-bankruptcy-restructuring-4728991"
"Skai","Tech",100,"20.0%",500,"Jun 3","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/jmjuqzfe6"
"Star Tribune","Media & Entertainment",65,"13.1%",495,"Jun 3","RESTRUCTURE","https://racketmn.com/read-star-tribune-publisher-steve-groves-leaked-memo-announcing-dramatic-job-cuts-updated-vision"
"Uber","Automotive & Transportation",340,"1.0%",34000,"Jun 3","AI-DRIVEN","https://www.bloomberg.com/news/articles/2026-06-03/uber-cuts-23-of-people-division-as-new-president-takes-charge"
"GitLab","Tech",361,"14.0%",2580,"Jun 1","RESTRUCTURE","https://ir.gitlab.com/news/news-details/2026/GitLab-Reports-First-Quarter-Fiscal-Year-2027-Financial-Results/default.aspx"
"Manhattan Associates","Tech",260,"5.9%",4370,"Jun 1","RESTRUCTURE","https://www.sec.gov/Archives/edgar/data/0001056696/000119312526251382/manh-20260601.htm"
"SentinelOne","Tech",240,"8.0%",3000,"May 29","AI-DRIVEN","https://techstartups.com/2026/05/29/sentinelone-lays-off-8-of-workforce-as-ai-push-and-weak-guidance-send-shares-down-12/"
"Rapyd","Crypto & Fintech",100,"14.3%",700,"May 28","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/h1r00jfrgzl"
"Amdocs","Tech",2500,"8.6%",29000,"May 28","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/u4qmp07cv"
"Minute Media","Media & Entertainment",60,"12.0%",500,"May 28","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/kk215pdq7"
"Lightricks","Tech",75,"17.0%",440,"May 27","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/r1dgjt5gmg"
"Los Angeles Lakers","Media & Entertainment",20,"6.7%",300,"May 27","COST CUT","https://www.espn.com/nba/story/_/id/48894046/lakers-lay-more-dozen-business-side-employees-amid-reorganization"
"Webflow","Tech",140,"8.0%",1740,"May 27","AI-DRIVEN","https://webflow.com/blog/evolving-webflow-for-the-agentic-web"
"BigID","Tech",150,"23.1%",650,"May 27","AI-DRIVEN","https://en.globes.co.il/en/article-ai-forces-israeli-unicorn-bigid-to-lay-off-150-1001544054"
"Groupon","Tech",400,"23.5%",1700,"May 21","AI-DRIVEN","https://www.investing.com/news/stock-market-news/groupon-stock-jumps-5-on-job-cuts-raised-guidance-93CH-4709657"
"Group 1 Automotive","Automotive & Transportation",700,"5.0%",14000,"May 4","COST CUT","https://www.autonews.com/retail/an-group-1-cuts-us-jobs-0504/"
"Innovaccer","Tech",340,"",0,"May 15","AI-DRIVEN","https://entrackr.com/news/innovaccer-lays-off-340-employees-amid-shift-to-ai-native-operations-11838352"
"Sodexo","Retail",296,"",0,"May 25","RESTRUCTURE","https://www.fiercehealthcare.com/finance/fierce-healthcare-layoff-tracker-2026-job-cuts-eliminations-health-systems-hospitals"
"Campbell's","Manufacturing",205,"36.1%",568,"May 1","RESTRUCTURE","https://www.wfaa.com/article/news/local/campbells-soup-factory-layoffs-paris-texas/287-ed71fa56-6a39-49f6-8921-db61b9d006f16"
"Wix","Tech",1000,"19.0%",5277,"May 25","AI-DRIVEN","https://en.globes.co.il/en/article-wix-plans-800-1000-layoffs-1001543841"
"LAUSD (Los Angeles Unified School District)","Tech",657,"1.1%",60000,"May 21","COST CUT","https://laist.com/brief/news/education/lausd-reduction-in-force-vote-may-2026-budget-preview"
"ClickUp","Tech",290,"22.3%",1300,"May 21","AI-DRIVEN","https://fortune.com/2026/05/18/ai-agent-to-human-ratio-clickup/"
"Acrisure","Finance & Banking",2250,"11.0%",20450,"May 20","AI-DRIVEN","https://www.theinsurer.com/ti/news/exclusive-acrisure-to-cut-2250-jobs-as-williams-ties-layoffs-to-ai-and-2026-05-20/"
"Intuit","Crypto & Fintech",3000,"16.5%",18200,"May 20","AI-DRIVEN","https://finance.yahoo.com/sectors/technology/articles/exclusive-intuit-cut-17-global-130424207.html"
"Portland Trail Blazers","Media & Entertainment",70,"28.0%",250,"May 19","COST CUT","https://www.hoopsrumors.com/2026/05/blazers-reportedly-layoff-about-70-business-employees.html"
"Standard Chartered","Finance & Banking",7800,"9.4%",83000,"May 19","AI-DRIVEN","https://www.business-standard.com/world-news/stanchart-planning-to-lay-off-thousands-of-support-staff-amid-ai-push-126051900112_1.html"
"AI21 Labs","Tech",110,"61.1%",180,"May 18","AI-DRIVEN","https://www.calcalistech.com/ctechnews/article/rjwumhukfx"
"Inter IKEA Group","Retail",850,"3.1%",27700,"May 18","RESTRUCTURE","https://www.ndtv.com/world-news/ikea-layoff-grown-bit-too-complex-ikea-to-cut-850-jobs-at-parent-company-11512530"
"Gambling.com Group","Tech",150,"25.0%",600,"May 15","AI-DRIVEN","https://frontofficesports.com/gambling-layoffs-pile-up-as-sports-betting-industry-recalibrates/"
"Penn Entertainment","Media & Entertainment",75,"0.3%",25000,"May 14","RESTRUCTURE","https://next.io/news/people/sources-penn-laying-off-75-employees/"
"Associated Press","Media & Entertainment",60,"1.8%",3300,"May 15","RESTRUCTURE","https://apnews.com/article/news-industry-ap-layoffs-3906d6f2c16621746515adc51a04b829"
"Starbucks","Consumer Goods",300,"1.9%",16000,"May 15","RESTRUCTURE","https://www.cnbc.com/2026/05/15/starbucks-to-lay-off-300-us-employees-close-some-regional-offices.html"
"Goodyear","Manufacturing",1700,"2.4%",71000,"May 13","COST CUT","https://www.manufacturingdive.com/news/goodyear-talks-to-close-fayetteville-north-carolina-tire-factory-usw-1700-workers/820242/"
"Takeda","Healthcare & Pharma",4500,"9.2%",49000,"May 13","COST CUT","https://www.fiercepharma.com/pharma/takeda-slimming-down-new-era-plots-4500-layoffs-latest-restructuring-drive"
"LinkedIn","Tech",875,"5.0%",17500,"May 13","AI-DRIVEN","https://www.reuters.com/business/world-at-work/linkedin-is-planning-lay-off-5-staff-latest-tech-sector-cuts-source-says-2026-05-13/"
"Cisco","Tech",4000,"5.0%",80000,"May 13","AI-DRIVEN","https://blogs.cisco.com/news/our-path-forward"
"Electrolux","Manufacturing",2100,"4.0%",52000,"May 12","WEAK DEMAND","https://www.bloomberg.com/news/articles/2026-05-12/italian-government-convenes-talks-on-planned-electrolux-job-cuts"
"Starbucks","Consumer Goods",61,"0.4%",16000,"May 11","RESTRUCTURE","https://www.geekwire.com/2026/starbucks-to-cut-61-tech-jobs-at-seattle-hq-in-department-reorganization/"
"ZoomInfo","Tech",600,"20.0%",3000,"May 11","RESTRUCTURE","https://www.stocktitan.net/sec-filings/GTM/8-k-zoom-info-technologies-inc-reports-material-event-1c8ee7c46b0c.html"
"General Motors","Automotive & Transportation",600,"0.4%",163000,"May 11","RESTRUCTURE","https://www.cnbc.com/2026/05/11/gm-layoffs.html"
"Reyes Coca-Cola Bottling","Consumer Goods",85,"0.9%",10000,"May 8","RESTRUCTURE","https://www.warntracker.com/company/reyes-coca-cola-bottling"
"Porsche","Automotive & Transportation",2400,"5.7%",42000,"May 8","RESTRUCTURE","https://www.bloomberg.com/news/articles/2026-05-08/porsche-shutters-three-units-as-new-ceo-makes-first-job-cuts"
"Fresh Venture Foods","Consumer Goods",185,"9.2%",2000,"May 7","RESTRUCTURE","https://www.warntracker.com/company/fresh-venture-foods"
"GladUDid Chick-fil-A","Retail",98,"100.0%",98,"May 7","RESTRUCTURE","https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN/"
"Mercedes-Benz R and D North America","Automotive & Transportation",72,"2.4%",3000,"May 7","COST CUT","https://www.warntracker.com/company/mercedes-benz-research-development-north-america"
"Streamland Media","Media & Entertainment",71,"4.7%",1500,"May 6","WEAK DEMAND","https://www.warntracker.com/company/streamland-media"
"Commerzbank","Finance & Banking",6900,"17.3%",39867,"May 8","MERGER","https://www.bloomberg.com/news/articles/2026-05-08/commerzbank-raises-outlook-as-orlopp-steps-up-unicredit-defense"
"Kyndryl","Tech",10000,"13.7%",73000,"May 6","RESTRUCTURE","https://www.kyndryl.com/us/en/about-us/news/2026/05/annual-and-fourth-quarter-2026-earnings-results"
"Fifth Third Bank","Finance & Banking",740,"2.7%",27000,"May 8","MERGER","https://www.bankingdive.com/news/fifth-third-comerica-layoffs-job-cuts-ceo-spence-earnings/810003/"
"Fidelity Investments","Finance & Banking",800,"1.0%",80000,"May 8","RESTRUCTURE","https://ts2.tech/en/fidelity-layoffs-2026-800-jobs-cut-as-boston-firm-rebuilds-tech-teams-and-hires-thousands/"
"Upwork","Tech",145,"24.2%",600,"May 7","AI-DRIVEN","https://investors.upwork.com/news-releases/news-release-details/upwork-reports-first-quarter-2026-financial-results"
