fips,naics,estabs,employment,avg_pay
01001,11,20,100,73326
01001,21,7,56,73539
01001,22,6,89,168116
01001,23,109,572,60832
01001,31-33,42,1960,78945
01001,42,42,424,72712
01001,44-45,156,1690,35007
01001,48-49,16,131,58047
01001,51,22,35,101544
01001,52,92,367,66502
01001,53,45,124,46744
01001,61,12,145,25486
01001,62,140,1199,40732
01001,71,12,351,15388
01001,72,82,1425,20113
01001,81,88,349,41513
01003,11,66,649,52870
01003,21,22,70,117500
01003,22,13,340,90266
01003,23,957,5859,70798
01003,31-33,296,4089,65180
01003,42,406,2357,88091
01003,44-45,1132,14980,38604
01003,48-49,234,2085,62793
01003,51,203,627,76401
01003,52,497,2054,86204
01003,53,624,2409,52085
01003,54,1004,3086,76619
01003,55,35,221,108650
01003,56,573,4185,43463
01003,61,76,1040,52396
01003,62,998,11003,57259
01003,71,128,1983,25882
01003,72,772,14327,28446
01003,81,551,2451,48580
01005,23,32,147,69018
01005,31-33,26,2100,50594
01005,44-45,86,886,30205
01005,48-49,30,238,76694
01005,52,46,146,56186
01005,53,22,35,39604
01005,56,12,236,34602
01005,71,8,77,19270
01005,72,55,784,17847
01007,23,42,757,80265
01007,31-33,22,556,56350
01007,44-45,62,605,31844
01007,48-49,19,252,48158
01007,51,6,12,42866
01007,52,20,75,57545
01007,53,14,26,45534
01007,54,26,70,56304
01007,71,5,19,16249
01007,72,19,218,16276
01007,81,24,77,46117
01009,23,142,664,58947
01009,31-33,60,1354,52939
01009,42,41,385,66841
01009,44-45,126,1274,33803
01009,51,13,58,59282
01009,52,50,230,67057
01009,53,22,41,40796
01009,54,64,194,68004
01009,55,5,23,173954
01009,56,36,196,39172
01009,71,10,136,18238
01009,72,68,809,18578
01009,81,67,320,40061
01011,22,3,46,93764
01011,44-45,29,214,25176
01011,52,6,33,73171
01011,53,7,16,59255
01011,62,58,443,46216
01013,11,27,202,57651
01013,22,4,79,97103
01013,23,35,227,59361
01013,31-33,20,1267,62264
01013,42,18,122,51770
01013,44-45,91,873,32256
01013,48-49,18,462,57473
01013,51,10,49,39521
01013,52,29,115,49934
01013,53,23,41,38153
01013,54,26,114,64995
01013,56,20,578,37706
01013,81,26,88,38236
01015,22,11,218,121879
01015,23,193,1142,69642
01015,31-33,142,6654,70682
01015,42,136,1645,65110
01015,44-45,460,5975,33084
01015,48-49,78,1077,50186
01015,51,48,274,53232
01015,52,172,816,75411
01015,53,90,446,45205
01015,54,218,1064,57365
01015,55,8,97,137257
01015,56,158,2217,40364
01015,61,23,273,36019
01015,62,449,3930,50361
01015,71,26,324,23571
01015,72,259,4841,20792
01015,81,186,908,38932
01017,11,24,197,56610
01017,22,5,95,89840
01017,23,67,246,57988
01017,31-33,37,2718,71902
01017,42,29,115,71745
01017,44-45,120,1088,30958
01017,48-49,23,173,73281
01017,51,14,89,66949
01017,52,35,120,51887
01017,53,21,55,41555
01017,54,48,206,47505
01017,56,53,445,39003
01017,81,46,116,45749
01017,99,0,1,33083
01019,11,17,187,42493
01019,23,32,106,60350
01019,31-33,30,689,59349
01019,42,18,152,52774
01019,44-45,88,942,34843
01019,51,9,42,47960
01019,52,31,114,56494
01019,53,18,20,80882
01019,54,39,106,80755
01019,56,14,295,37270
01019,71,9,125,13379
01019,72,34,486,17477
01019,81,24,124,30397
01021,22,7,83,114116
01021,23,102,548,69392
01021,31-33,52,1705,62198
01021,42,37,401,62272
01021,44-45,147,1545,34771
01021,48-49,39,195,66767
01021,51,15,44,42998
01021,52,55,225,63513
01021,53,26,52,54430
01021,56,36,192,39805
01021,71,5,15,18207
01021,72,66,957,20448
01021,81,66,303,33285
01021,99,0,2,53003
01023,22,3,14,96010
01023,42,6,49,54673
01023,44-45,45,313,24623
01023,48-49,22,154,61203
01023,51,4,13,35350
01023,52,16,71,51451
01023,53,4,10,23368
01023,54,25,68,58082
01023,56,10,76,49426
01023,71,3,8,20580
01023,72,18,160,17433
01023,81,22,84,46578
01025,22,4,57,119905
01025,23,29,162,60792
01025,31-33,33,1829,82601
01025,42,15,154,47894
01025,44-45,130,1325,32098
01025,48-49,28,151,59963
01025,51,6,26,38862
01025,52,65,269,59079
01025,53,20,67,46211
01025,56,20,166,45144
01025,61,4,113,28752
01025,62,130,817,41972
01025,71,3,9,10806
01025,72,58,748,15778
01025,81,45,130,42602
01027,11,16,61,44871
01027,23,15,36,52725
01027,31-33,16,2147,49054
01027,42,10,86,59905
01027,44-45,40,284,20509
01027,54,15,51,48029
01027,81,14,40,30806
01029,23,28,456,73657
01029,31-33,16,461,73461
01029,44-45,52,462,40889
01029,51,5,14,140317
01029,52,12,59,64443
01029,53,5,12,20908
01029,54,16,32,61147
01029,62,30,126,35902
01029,72,10,139,18794
01029,81,16,59,57098
01031,11,22,363,50332
01031,22,4,66,83515
01031,23,94,433,53299
01031,31-33,49,3791,49845
01031,42,39,495,76209
01031,44-45,213,2514,36118
01031,48-49,36,351,62308
01031,51,24,124,57037
01031,52,89,302,70979
01031,53,63,197,37754
01031,61,17,53,17631
01031,62,209,2274,48547
01031,71,16,150,15973
01031,72,126,1772,20101
01031,81,90,337,39413
01033,11,16,53,42068
01033,21,8,141,89882
01033,23,139,1738,65943
01033,31-33,126,6242,70072
01033,42,104,892,64433
01033,44-45,246,3207,40079
01033,51,25,116,51772
01033,52,91,744,66097
01033,53,58,140,48090
01033,56,73,611,54129
01033,61,10,81,24193
01033,62,251,1994,54073
01033,71,22,189,20498
01033,72,121,1927,19280
01033,81,87,500,47238
01035,11,20,105,66947
01035,21,3,49,57968
01035,22,4,16,42696
01035,23,13,87,48270
01035,31-33,16,562,55116
01035,42,6,246,69532
01035,44-45,36,313,30115
01035,48-49,15,345,47874
01035,51,4,13,37857
01035,52,14,39,56713
01035,53,4,4,28042
01035,56,12,147,40880
01035,81,16,57,37851
01037,11,4,14,51715
01037,23,14,35,46779
01037,31-33,6,571,64428
01037,42,7,38,47476
01037,44-45,24,121,25437
01037,54,10,27,73185
01037,81,6,18,42861
01039,22,8,609,102551
01039,23,93,559,55738
01039,31-33,49,1662,53653
01039,42,35,496,55706
01039,44-45,204,1891,33442
01039,48-49,36,310,57965
01039,51,17,55,46954
01039,52,64,346,69384
01039,53,35,82,40330
01039,54,84,247,62110
01039,55,4,14,57325
01039,56,41,404,39794
01039,61,5,15,36980
01039,62,197,1877,44999
01039,71,7,61,23922
01039,72,82,1053,18168
01039,81,64,266,42817
01041,23,27,116,56917
01041,31-33,11,784,63729
01041,42,12,212,65318
01041,44-45,38,283,26398
01041,51,3,18,69524
01041,52,17,88,62638
01041,53,8,8,31505
01041,81,16,90,52080
01043,22,5,146,95098
01043,23,260,1592,61822
01043,31-33,150,6533,62080
01043,42,112,835,73320
01043,44-45,378,4224,37103
01043,48-49,99,2107,62121
01043,51,25,168,64101
01043,52,139,726,80366
01043,53,66,183,52474
01043,56,91,1058,39838
01043,61,9,65,21274
01043,62,344,4153,56921
01043,71,24,281,37485
01043,72,164,2803,21548
01043,81,140,617,47777
01045,22,7,93,96317
01045,23,80,708,62098
01045,31-33,42,3996,88588
01045,42,19,175,32645
01045,44-45,142,1330,31968
01045,48-49,48,1130,78906
01045,51,18,116,77563
01045,52,59,227,57336
01045,53,36,153,53553
01045,56,67,708,59400
01045,61,20,781,114075
01045,62,216,1192,40074
01045,71,6,22,55099
01045,72,87,1181,20280
01045,81,39,216,32420
01047,22,5,56,91169
01047,23,57,507,64647
01047,31-33,34,2384,68108
01047,42,35,250,53039
01047,44-45,135,1370,31698
01047,48-49,25,121,61233
01047,51,12,59,50541
01047,52,42,242,68924
01047,53,31,90,35295
01047,54,66,209,51970
01047,55,4,43,75733
01047,56,29,462,32157
01047,61,7,131,22242
01047,62,244,1714,46934
01047,71,6,67,15662
01047,72,57,753,18555
01047,81,66,392,63702
01049,23,106,744,68554
01049,31-33,131,6443,66087
01049,42,65,1233,55232
01049,44-45,273,2612,33788
01049,51,16,166,71914
01049,52,80,386,55568
01049,53,45,169,46520
01049,54,111,405,60163
01049,55,7,57,73193
01049,56,59,818,39292
01049,61,5,106,19387
01049,62,193,2318,45565
01049,71,10,46,24855
01049,72,118,1978,21276
01049,81,75,286,42496
01051,11,20,107,63148
01051,21,5,54,58737
01051,22,15,122,105741
01051,23,200,1022,65111
01051,31-33,74,2264,70811
01051,42,57,290,78491
01051,44-45,260,3947,32824
01051,48-49,48,172,71567
01051,51,41,107,81332
01051,52,126,540,67860
01051,53,77,178,46361
01051,54,170,1027,91413
01051,55,8,34,94523
01051,56,108,454,46457
01051,61,16,266,39062
01051,62,178,2373,40800
01051,71,16,365,17658
01051,72,169,3286,21805
01051,81,109,497,41764
01053,11,25,204,58826
01053,21,11,181,83049
01053,22,7,114,94477
01053,23,75,429,61497
01053,31-33,45,1606,68990
01053,42,40,294,54653
01053,44-45,169,1720,34875
01053,48-49,27,235,60501
01053,51,11,25,74528
01053,52,58,377,61431
01053,53,26,67,34128
01053,54,65,238,47704
01053,55,3,18,68813
01053,56,38,615,39332
01053,71,4,80,15045
01053,72,70,1025,19276
01053,81,52,193,35614
01055,22,8,126,118290
01055,23,158,1078,58648
01055,31-33,116,4344,50886
01055,42,103,950,63953
01055,44-45,400,4813,32677
01055,48-49,76,825,59316
01055,51,31,153,53734
01055,52,153,935,68074
01055,53,82,251,42757
01055,54,178,603,56800
01055,55,15,89,106758
01055,56,112,1824,41284
01055,61,14,275,30824
01055,62,454,6994,56095
01055,71,26,361,18004
01055,72,210,3561,20496
01055,81,148,737,49160
01057,11,17,131,47719
01057,21,8,60,125848
01057,23,30,126,49347
01057,31-33,20,703,58323
01057,44-45,53,564,31537
01057,48-49,16,38,47056
01057,51,5,9,56026
01057,52,22,91,61460
01057,53,6,12,49532
01057,54,26,135,63351
01057,71,4,6,26404
01057,72,24,320,14734
01057,81,18,106,58157
01059,11,16,87,45757
01059,21,3,88,56746
01059,23,58,217,56752
01059,31-33,45,4631,55867
01059,44-45,116,1129,29731
01059,51,10,28,63249
01059,52,48,387,51049
01059,53,18,34,32185
01059,56,20,192,43484
01059,71,6,13,28180
01059,72,55,638,18690
01059,81,40,140,43787
01061,23,65,209,44932
01061,31-33,25,807,45072
01061,42,22,317,69353
01061,44-45,85,856,30224
01061,52,39,197,55607
01061,53,13,36,39100
01061,56,26,228,29489
01063,11,9,34,51635
01063,23,8,91,70013
01063,31-33,8,476,50146
01063,44-45,21,218,25213
01063,71,5,100,29737
01063,72,6,40,22818
01063,81,9,88,26315
01065,11,39,186,53316
01065,22,3,22,86591
01065,23,24,174,60588
01065,31-33,16,369,84639
01065,42,5,15,88618
01065,44-45,42,250,27745
01065,48-49,16,26,49139
01065,51,4,4,55569
01065,54,15,73,56283
01065,56,10,40,33960
01065,61,4,61,29875
01065,62,62,277,35059
01065,81,17,48,48697
01067,11,25,265,48033
01067,22,6,45,91130
01067,23,31,226,67239
01067,31-33,16,515,72419
01067,42,17,92,57146
01067,44-45,47,310,34129
01067,48-49,24,351,67168
01067,51,6,8,110573
01067,52,28,112,61385
01067,53,6,23,53352
01067,54,36,262,64200
01067,71,4,10,19670
01067,72,28,300,18984
01067,81,18,64,45758
01069,23,260,2156,62651
01069,31-33,149,4322,52996
01069,42,184,2519,68571
01069,44-45,568,8074,37874
01069,51,67,369,57348
01069,52,213,1087,87140
01069,53,120,459,52263
01069,54,332,1404,75440
01069,55,16,134,232141
01069,56,184,2895,32774
01069,61,32,446,49420
01069,62,746,8171,62325
01069,71,42,578,19927
01069,72,317,5267,21619
01069,81,217,1175,45081
01071,23,98,712,54741
01071,31-33,86,4648,59488
01071,42,44,501,54699
01071,44-45,188,2564,29866
01071,51,20,233,141972
01071,52,72,329,61155
01071,53,38,94,49965
01071,54,81,232,70251
01071,55,5,36,95785
01071,56,45,165,40103
01071,71,12,27,27845
01071,72,92,1056,19687
01071,81,57,187,37192
01073,11,22,84,65348
01073,21,34,1219,134725
01073,22,60,4960,142974
01073,23,1536,19368,85941
01073,31-33,834,24420,87685
01073,42,1453,16179,93827
01073,44-45,2725,37132,41068
01073,48-49,668,17645,57630
01073,51,638,5980,84598
01073,52,1548,20023,122416
01073,53,1156,5720,74244
01073,54,3265,20418,106932
01073,55,199,5746,137914
01073,56,1180,23087,42156
01073,61,254,4635,49632
01073,62,2858,52958,74069
01073,71,302,5420,29409
01073,72,1777,30093,27247
01073,81,1808,10508,58527
01073,99,2,9,53476
01075,23,20,73,45593
01075,31-33,20,1196,63626
01075,44-45,47,407,35420
01075,48-49,20,145,56540
01075,51,8,12,62073
01075,54,18,42,49209
01075,56,13,225,65875
01075,62,41,336,34148
01075,81,13,38,24880
01077,23,190,1842,71685
01077,31-33,108,2365,53557
01077,42,105,1275,67686
01077,44-45,403,4946,31722
01077,51,57,273,46356
01077,52,188,952,72306
01077,53,122,460,46618
